,RiskPerformance
4622,1
3310,0
4539,0
3161,1
10307,1
9799,0
2862,0
8520,1
2208,0
6328,1
4212,1
2027,1
5534,1
4163,0
3514,0
9341,1
6285,1
9195,0
9539,0
9118,1
8739,0
8,0
5636,0
1466,1
9318,1
1600,0
9934,0
8181,0
3263,1
10452,1
2717,0
6561,0
583,1
9020,0
2848,1
8432,1
7578,1
4646,0
9095,1
7726,0
10449,1
3641,1
293,1
5286,0
5365,1
9164,0
8772,0
6547,0
3220,0
758,1
9029,0
5959,0
3832,1
2138,0
5195,1
9478,0
8379,1
6667,0
4115,0
5479,1
6333,0
9204,0
7636,1
6349,1
10364,0
4352,0
5439,1
5263,0
3916,1
5127,1
3195,1
8780,0
3284,1
492,0
219,0
119,0
5252,0
16,0
9956,1
9520,0
2774,0
8008,1
7605,0
1690,0
10456,0
1708,0
4144,1
10260,1
1739,1
1804,0
3247,0
1957,1
8184,0
5566,0
4507,1
9379,1
5571,0
8354,1
9289,1
9966,1
2018,0
8538,0
6127,1
7342,0
5211,0
5165,0
6304,0
5649,1
8253,0
8438,0
10222,0
7059,0
8856,1
94,1
4467,1
2198,0
4160,0
5413,0
3063,0
5561,1
1565,0
8035,0
7384,1
6386,1
3947,1
8145,1
6396,0
6608,0
7558,0
5268,0
9149,0
78,1
8775,0
9856,1
5675,0
2123,1
7883,0
7477,1
5998,1
401,1
3594,0
3163,1
4475,1
6364,0
8474,0
8015,1
4980,1
9544,1
3935,1
1532,1
7845,1
10232,0
8304,0
4102,0
7549,0
8812,0
720,0
4107,0
532,0
914,1
2021,1
6292,1
5014,1
3256,1
5257,0
7806,0
6259,1
5886,0
3037,0
952,1
1570,0
8871,1
4715,1
2834,0
2765,1
1633,1
396,0
7020,1
818,1
7509,0
5518,1
1630,0
4991,1
3038,1
9576,1
5869,0
2043,0
904,0
10323,1
9441,0
4064,1
5980,0
6011,1
5543,1
7702,0
7469,0
1702,0
1888,1
2685,1
1748,0
1672,0
174,0
3604,1
2011,0
3693,1
6927,0
10029,1
4896,0
10142,1
10107,1
10231,1
7658,0
6069,1
1845,0
9861,0
2295,0
8011,1
2724,0
6698,0
3362,0
9031,1
9801,1
6072,1
9221,1
4329,0
8205,0
2697,0
6683,0
194,1
6949,1
4354,0
6774,0
4016,1
8073,1
932,1
4522,0
6862,1
6742,1
9979,1
2811,0
7735,1
7002,0
2523,0
7030,1
4914,1
9013,0
5098,1
7023,1
6012,0
2163,0
9688,0
2592,1
7351,0
7211,0
1001,0
49,0
2496,0
759,0
4659,0
7195,1
9268,0
4566,0
2374,0
2035,0
2996,1
1757,0
5882,0
8698,0
7376,0
8985,0
562,0
8431,0
1607,0
4949,1
8127,0
3440,1
3048,1
4152,0
6898,0
9942,0
495,0
2979,0
1929,0
2162,1
177,1
934,1
2809,0
6810,1
10286,1
6117,1
8336,0
1579,0
6109,0
7256,1
6375,1
9810,0
2655,1
1745,0
3838,1
7512,0
8617,1
6392,1
7731,0
2850,0
5828,0
8324,1
7574,1
360,1
8945,0
5102,0
3414,0
3864,0
9455,0
10441,1
4223,0
577,1
7092,1
5434,0
3975,1
7405,0
483,1
1573,1
7888,1
2863,0
4453,0
4893,1
392,0
7700,0
1759,0
3753,1
9784,1
6860,0
6272,1
9827,1
1766,0
2464,0
4657,1
9400,1
3595,1
7301,1
6370,0
3683,1
9686,1
9895,1
6621,0
3345,1
845,1
5322,0
10273,1
529,0
8999,0
3350,1
2151,1
2336,1
6746,0
3197,1
3451,1
6193,1
2881,0
2055,0
6256,1
6213,1
128,0
2188,0
5144,0
839,1
4728,1
355,0
6160,1
228,0
10279,1
6433,0
7429,1
8563,0
4033,1
5341,0
3903,1
8179,0
6669,0
9672,1
2744,0
2704,0
3707,1
4169,1
2029,1
8066,1
5384,0
5196,1
5713,0
2973,1
4809,1
9019,0
3635,1
3892,0
6472,0
8562,1
8836,0
2492,1
8279,1
1669,0
7829,0
1547,0
8912,0
3735,1
5847,0
2805,1
5814,0
4685,1
7593,0
4912,1
5421,1
3395,1
2461,0
351,1
1726,1
6241,1
5725,0
299,1
45,0
221,1
2296,1
4127,0
5657,0
835,1
8636,1
9111,0
143,1
8970,0
3518,1
3736,1
454,0
6073,1
8764,0
7433,0
2986,1
8409,1
2148,0
4527,0
4656,0
5373,0
2477,0
6502,0
8371,0
4939,1
2091,0
2189,0
3471,1
3668,1
6663,0
7844,0
6906,0
9010,1
3716,1
3517,1
8121,1
4872,1
3156,0
1043,0
4307,0
10019,0
3127,0
9352,1
1687,0
1752,0
1002,0
1047,1
598,1
5966,1
8596,1
8821,1
7158,0
572,0
6889,0
6197,1
416,1
2938,1
101,1
4885,1
7247,0
4133,0
8517,1
2300,0
9333,1
3483,1
9230,1
5194,1
8527,0
2450,0
5282,0
6765,1
6751,0
4962,1
7553,0
6498,1
6343,0
10227,1
7263,1
7534,1
8486,0
795,1
5927,1
3267,1
6542,1
9306,1
4473,1
10229,1
7436,1
4891,1
1020,1
7556,1
10059,0
6039,0
3969,1
5207,1
6206,1
4295,1
8816,0
1886,0
9315,1
989,1
4859,1
7781,0
3880,1
1900,0
8933,0
1803,0
6541,0
6507,1
7711,0
9147,1
9936,0
7434,0
9591,1
5336,0
9475,0
8506,0
8993,0
8189,0
6636,0
2254,1
2880,0
7153,0
2846,0
6688,0
4967,0
312,0
3524,1
2840,0
1943,0
7817,0
2498,0
7008,0
743,1
399,1
4114,0
7682,0
6230,1
3723,1
76,0
9236,0
2443,0
6442,0
9338,1
622,1
7529,0
2603,0
7622,1
7763,1
8894,1
2223,1
168,1
5092,0
8591,1
10124,1
10268,1
4969,0
8413,0
6909,1
2703,0
4794,0
6619,1
6942,1
1974,1
3831,1
10139,1
8809,1
7474,0
6685,1
1025,1
7789,0
4103,0
9577,1
3622,1
2,0
1012,0
2639,1
2653,1
7475,1
9716,1
3154,1
10200,1
2307,1
2142,0
1517,0
366,0
9105,0
9245,1
7186,1
73,0
10290,1
6585,0
5573,0
2268,0
8483,0
5371,1
2512,1
5577,0
9445,0
8533,1
5618,0
10346,1
576,0
9277,0
6122,1
5095,1
8594,1
8853,1
7250,0
2625,0
2854,0
5312,0
36,0
8580,0
5453,1
5274,0
996,1
2819,1
8687,0
8582,1
6787,1
5914,0
7510,1
3896,1
9971,1
7414,1
3757,1
8341,1
2089,0
5167,0
6938,1
551,0
10243,1
4190,0
3137,0
6297,1
4951,0
10407,1
4793,0
7132,0
9545,1
6512,0
9405,1
3873,1
426,1
7640,0
2738,1
5631,0
5684,0
2661,1
3993,1
9864,0
2274,1
1639,1
6828,0
883,0
8877,0
1516,1
7128,1
4720,1
6879,1
4890,1
125,0
2800,0
7793,0
9839,0
5186,1
981,1
8861,0
8113,1
6395,0
4501,0
6548,1
5511,1
6543,0
3080,0
1561,0
2510,0
2312,0
2466,0
8163,1
6695,0
4764,1
8990,0
9616,1
1660,0
2180,0
4065,1
7120,1
4514,0
8215,0
3029,1
8083,0
1882,1
1512,0
2591,0
9507,0
7235,0
7115,0
5946,1
10345,0
9440,1
8909,1
3599,1
5155,0
288,0
7498,1
8109,1
4594,0
4325,1
4203,0
3,0
2034,1
2525,0
7953,1
6203,0
7494,1
1820,0
2650,0
2222,0
9160,0
5106,0
3438,0
7500,0
3614,0
4928,1
9390,0
3766,1
8469,0
8017,1
9754,1
3309,1
2493,1
1928,1
1801,0
7775,0
661,1
8642,1
923,0
3917,1
10134,1
5420,0
5403,1
8149,1
3535,1
10042,1
10218,1
6747,1
328,0
4189,0
3531,1
10237,0
6777,0
1703,1
4683,0
1816,0
4471,1
2701,0
5164,1
2769,1
2736,1
4502,0
6627,0
5747,0
7383,1
5114,0
3215,0
3424,1
4571,0
77,0
5138,0
1935,0
5915,0
2901,0
8571,0
10378,1
1542,0
7117,0
7526,0
976,1
8884,0
7273,0
4333,1
3576,1
5247,0
3298,1
4089,0
210,1
6114,1
7977,1
7053,1
10144,1
7284,0
8550,0
9959,1
4698,0
6245,0
7390,0
6443,1
7797,0
2734,1
878,1
2290,0
8889,0
5118,0
688,0
3881,1
8131,1
8717,1
469,1
2342,1
7822,1
9825,1
843,0
10212,0
6723,0
524,0
1756,1
5704,0
5850,1
9790,1
4147,0
7184,1
4699,1
619,0
9465,0
531,0
5686,0
4624,1
6925,1
4379,0
670,1
3871,0
3592,0
782,1
4082,0
8866,1
2936,1
2132,1
1567,1
7388,1
9410,1
6415,0
7106,0
4714,0
3817,0
437,0
6170,1
8721,0
6513,0
1507,1
9168,0
7699,1
8097,1
5198,1
3124,1
9994,1
2916,1
4676,0
737,1
7692,1
8835,0
2705,0
1835,0
8503,0
1531,0
3171,1
8888,0
2884,0
4408,0
10419,1
7689,1
4712,0
6737,1
4008,1
2219,0
3295,1
314,1
4506,0
3494,1
2324,0
625,1
9074,1
3814,1
5630,1
5078,1
4533,0
1059,0
9813,0
9066,0
5058,0
1735,1
8197,0
5042,0
3719,1
8619,1
2101,0
2001,0
4860,1
9625,1
6124,1
2911,1
6070,0
7329,1
4918,1
8874,0
193,0
4703,1
7890,0
708,1
3034,1
4702,1
3956,1
5812,0
9529,0
9174,0
10388,1
3033,1
7621,0
2489,0
7873,1
9626,1
7600,0
4258,0
7099,1
4045,1
7449,1
5931,0
9578,0
3527,1
8746,0
9588,0
6046,1
9313,1
3287,1
682,1
7996,1
7252,0
6010,0
2876,0
2273,0
5246,0
877,1
9248,0
10067,1
5006,1
8613,0
4958,1
7637,1
2527,1
7603,0
2684,0
516,0
9610,1
5875,1
7325,1
7991,0
10406,1
2749,0
4972,1
8407,0
2777,0
6974,1
208,1
961,0
9792,1
6956,1
7583,0
9436,0
6497,0
2369,0
6465,0
8997,1
4835,1
243,0
3365,0
6799,0
649,1
9711,1
3504,1
1722,0
716,0
643,1
6126,1
9631,0
5190,1
282,0
8557,1
2289,1
1855,1
7308,0
10233,0
4517,1
2395,0
6918,1
8176,0
9146,0
2732,1
7848,0
7624,1
7154,0
2743,1
4497,0
10373,0
8870,1
7452,0
1671,0
180,0
4173,1
7330,0
10443,1
6302,1
2380,0
5065,0
3746,1
9904,0
6993,1
5388,1
1992,0
7728,1
2022,0
25,0
7159,0
8882,0
1727,0
5851,1
5603,0
7606,0
2248,0
3422,1
2746,0
1524,1
1774,1
6708,1
8284,1
7156,1
8294,0
6324,0
5759,0
9298,1
1837,0
5926,1
1885,0
823,1
6099,1
6916,1
3188,0
4131,0
10032,1
307,0
7670,0
7399,0
418,0
3798,1
3389,1
7718,0
3359,1
8058,1
9671,0
9057,1
2664,0
160,1
4670,0
8412,0
4596,1
7565,0
